from_node,to_node,distance_m,estimated_time_min,path_type,accessibility,crowd_level,lighting,covered_path,elevation_change_m,indoor
10,30,69.21,0.71,elevator,TRUE,5,FALSE,TRUE,7.02,TRUE
37,29,386.63,4.13,bike_lane,TRUE,3,FALSE,FALSE,5.82,FALSE
35,39,389.95,4.86,elevator,TRUE,3,FALSE,TRUE,6.67,TRUE
43,54,403.24,4.09,paved,TRUE,5,FALSE,TRUE,7.49,FALSE
69,10,461.78,5.27,paved,TRUE,4,TRUE,TRUE,9.83,FALSE
66,40,435,6.07,paved,TRUE,2,TRUE,FALSE,0.09,FALSE
42,16,148.34,1.64,elevator,TRUE,4,FALSE,TRUE,4.5,TRUE
41,58,105.95,1.31,gravel,TRUE,3,FALSE,FALSE,8.04,FALSE
58,56,192.36,2.16,gravel,TRUE,3,FALSE,TRUE,6.09,FALSE
14,56,183.66,2.72,indoor,TRUE,3,TRUE,TRUE,5.31,TRUE
30,49,337.7,4.29,indoor,TRUE,3,TRUE,TRUE,3.39,TRUE
30,8,130.49,1.42,indoor,TRUE,5,TRUE,TRUE,0.25,TRUE
22,8,63.71,1.05,bike_lane,TRUE,4,TRUE,FALSE,1.79,FALSE
14,67,246.39,2.51,paved,TRUE,3,TRUE,TRUE,8.13,FALSE
58,59,409.97,5.07,elevator,TRUE,4,FALSE,FALSE,3.87,TRUE
65,63,118.66,1.7,elevator,TRUE,4,TRUE,TRUE,9.46,TRUE
27,6,204.48,2.05,gravel,TRUE,4,FALSE,TRUE,4.67,FALSE
10,57,125.68,1.77,paved,TRUE,2,TRUE,TRUE,2.74,FALSE
3,39,465.43,5.14,stairs,FALSE,5,FALSE,FALSE,9.46,FALSE
5,17,381.07,4.35,stairs,FALSE,5,FALSE,TRUE,6.6,FALSE
20,12,478.27,6.4,gravel,TRUE,2,FALSE,TRUE,0.21,FALSE
12,26,210.55,3.16,paved,TRUE,1,TRUE,TRUE,1.91,FALSE
31,19,159.82,2.54,gravel,TRUE,5,FALSE,TRUE,5.15,FALSE
2,52,176.18,1.94,paved,TRUE,4,FALSE,FALSE,5.85,FALSE
19,43,296.78,4.44,paved,TRUE,1,FALSE,FALSE,4.2,FALSE
40,3,448.29,7.46,gravel,TRUE,3,FALSE,TRUE,0.99,FALSE
13,60,431.36,5.63,paved,TRUE,4,TRUE,TRUE,3.26,FALSE
8,3,251.23,3.93,paved,TRUE,2,TRUE,TRUE,1.24,FALSE
42,66,348.23,4.76,indoor,TRUE,3,FALSE,FALSE,3.65,TRUE
54,67,155.14,1.67,paved,TRUE,4,FALSE,FALSE,1.42,FALSE
46,10,66.87,0.74,gravel,TRUE,1,TRUE,TRUE,2.03,FALSE
