node_id,name,latitude,longitude
1,Main Gate,12.935838,77.60376
2,Library,12.94337,77.614069
3,Cafeteria,12.938773,77.614062
4,Admin Block,12.943058,77.614222
5,Engineering Block,12.946679,77.609036
6,Science Block,12.938018,77.619509
7,Medical Center,12.931152,77.615265
8,Auditorium,12.941416,77.610893
9,Gymnasium,12.949839,77.60653
10,Football Ground,12.94945,77.603094
11,Basketball Court,12.942813,77.616028
12,Hostel A,12.931049,77.610715
13,Hostel B,12.942386,77.609105
14,Faculty Quarters,12.936778,77.602167
15,Parking Lot A,12.948503,77.615473
16,Parking Lot B,12.941121,77.606383
17,North Entrance,12.944713,77.617801
18,South Entrance,12.932244,77.614161
19,IT Department,12.94531,77.608535
20,Exam Cell,12.943039,77.601965
21,Lecture Hall A,12.942261,77.618689
22,Lecture Hall B,12.941271,77.608804
23,Garden Area,12.941294,77.610512
24,Security Office,12.935859,77.608238
25,Lab 1,12.933805,77.613296
26,Lab 2,12.947961,77.615357
27,Art Center,12.934587,77.61116
28,Music Room,12.934455,77.602347
29,Theater Hall,12.937477,77.615241
30,Placement Cell,12.946416,77.617757
31,Seminar Hall,12.941149,77.601501
32,Library Extension,12.944925,77.608174
33,Innovation Hub,12.938026,77.60965
34,Startup Incubator,12.94931,77.611319
35,Counseling Center,12.940538,77.602725
36,Language Lab,12.949003,77.619185
37,WiFi Zone,12.948722,77.608115
38,Student Lounge,12.93529,77.616966
39,Bookstore,12.94004,77.609212
40,ATM,12.93421,77.617378
41,Cultural Club,12.946978,77.609421
42,Debate Room,12.936551,77.607458
43,Photography Room,12.934616,77.614699
44,Staff Room,12.93264,77.614208
45,Maintenance Office,12.946462,77.611608
46,Power House,12.937642,77.618453
47,Water Tank,12.949769,77.608822
48,Greenhouse,12.944752,77.604056
49,Recycling Unit,12.937762,77.604152
50,Bike Stand,12.948388,77.610357
51,Cycle Stand,12.939627,77.616998
52,Guest House,12.940522,77.601446
53,Nursery,12.936529,77.60879
54,Primary School,12.935003,77.615689
55,Open Air Theater,12.943184,77.617672
56,Reading Room,12.941799,77.611511
57,Prayer Room,12.946307,77.604076
58,Observation Tower,12.94708,77.611863
59,Statue Garden,12.945276,77.606687
60,Monument,12.948005,77.609025
61,Solar Panel Field,12.938058,77.607948
62,Rainwater Harvesting Unit,12.939692,77.617709
63,Alumni Center,12.93216,77.61825
64,Career Services,12.935183,77.614041
65,Finance Office,12.938388,77.602548
66,Accounts Department,12.933984,77.61549
67,Transport Office,12.931859,77.619724
68,Language Center,12.946158,77.618041
69,Heritage Block,12.939582,77.606647
70,Health Kiosk,12.949605,77.601874
71,Data Center,12.938128,77.616107
