University Name,Campus Location
University of Quakertown,Quakertown Road
University of 20th,20th Meadows
University of Oxford,Oxford Lane
University of 1st,1st Crossing
University of Tobias,Tobias Park
University of Sunset,Sunset Promenade
University of Bixel,Bixel Court
University of Euclid,Euclid Heights
University of Topanga,Topanga Canyon Pass
University of Court,Court Close
University of Sunburst,Sunburst Way
University of Finley,Finley Drive
University of Adams,Adams Square
University of Central,Central Avenue
University of Broadway,Broadway Avenue
University of Winnetka,Winnetka Avenue
University of Sunland,Sunland Trail
University of Satsuma,Satsuma Lane
University of Jonfin,Jonfin Heights
University of Willis,Willis Circle
University of Hillview,Hillview Road
University of Art,Art Walk
University of Dickens,Dickens Street
University of Occidental,Occidental Plaza
University of Reef,Reef Terrace
University of Van,Van Nuys Street
University of Ventura,Ventura Gate
University of Franklin,Franklin Terrace
University of Mateo,Mateo Drive
University of Colorado,Colorado Path
University of Normandie,Normandie Rise
University of Tuxford,Tuxford Avenue
University of Antioch,Antioch Trail
University of 36th,36th District
University of Vinedale,Vinedale Crescent
University of Rincon,Rincon Hill
University of 45th,45th Row
University of Saticoy,Saticoy Parkway
University of Odin,Odin Boulevard
University of San,San Fernando Route
University of Sierra,Sierra Mar Drive
University of Calvert,Calvert Avenue
University of Figaro,Figaro Street
University of Elysian,Elysian Green
University of 77th,77th Yard
University of Serrano,Serrano Crescent
University of Sepulveda,Sepulveda Way
University of Avalon,Avalon Path
University of Western,Western Rise
University of Clearfield,Clearfield Street
University of Wilshire,Wilshire Place
University of Maple,Maple Way
University of Nordhoff,Nordhoff Lane
University of 5th,5th Commons
University of World,World Way
University of Sharp,Sharp Vale
University of Griffith,Griffith Gardens
University of Warren,Warren Steps
University of Florence,Florence Boulevard
University of Oakwood,Oakwood Bend
